node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.886148,113.833995,0,0.0
1,7,99999.848185,151.784661,0,0.0
1,8,99999.848185,151.790659,0,0.0
1,10,99999.924099,75.88933,0,0.0
1,12,99999.924099,75.892329,0,0.0
1,15,99999.924099,75.892329,0,0.0
1,18,99999.886139,113.842994,0,0.0
1,30,99999.848185,151.790659,0,0.0
2,3,99999.879861,120.139108,0,0.0
2,4,99999.848233,151.760661,0,0.0
2,5,99999.848233,151.766659,0,0.0
2,17,99999.924123,75.877332,0,0.0
2,21,99999.924123,75.877332,0,0.0
2,22,99999.886175,113.820496,0,0.0
2,28,99999.886175,113.820496,0,0.0
2,31,99999.886175,113.820496,0,0.0
3,4,99999.848233,151.760661,0,0.0
3,5,99999.848233,151.760661,0,0.0
3,6,99999.924123,75.877332,0,0.0
3,7,99999.886184,113.815997,0,0.0
3,12,99999.924117,75.880331,0,0.0
3,13,99999.924117,75.880331,0,0.0
3,15,99999.924117,75.883329,0,0.0
3,20,99999.924117,75.880331,0,0.0
3,27,99999.886184,113.815997,0,0.0
3,31,99999.886175,113.820496,0,0.0
3,32,99999.886175,113.820496,0,0.0
4,11,99999.886175,113.824994,0,0.0
4,14,99999.886175,113.824994,0,0.0
4,16,99999.886175,113.820496,0,0.0
4,17,99999.886175,113.820496,0,0.0
5,6,99999.924117,75.880331,0,0.0
5,9,99999.886175,113.824994,0,0.0
5,10,99999.886175,113.820496,0,0.0
5,11,99999.886175,113.824994,0,0.0
5,15,99999.886175,113.824994,0,0.0
5,16,99999.886175,113.820496,0,0.0
6,8,99999.886175,113.820496,0,0.0
6,19,99999.924123,75.877332,0,0.0
6,23,99999.886184,113.815997,0,0.0
6,27,99999.886184,113.815997,0,0.0
7,9,99999.886175,113.820496,0,0.0
8,18,99999.886175,113.824994,0,0.0
10,15,99999.924117,75.880331,0,0.0
10,29,99999.886175,113.820496,0,0.0
11,13,99999.886175,113.820496,0,0.0
11,29,99999.886175,113.824994,0,0.0
13,14,99999.924117,75.883329,0,0.0
13,22,99999.886175,113.824994,0,0.0
14,20,99999.924117,75.880331,0,0.0
14,21,99999.886175,113.820496,0,0.0
14,24,99999.886175,113.820496,0,0.0
15,18,99999.924117,75.883329,0,0.0
15,19,99999.924117,75.880331,0,0.0
15,26,99999.886175,113.824994,0,0.0
15,28,99999.886175,113.824994,0,0.0
16,23,99999.886175,113.820496,0,0.0
16,25,99999.886175,113.820496,0,0.0
18,30,99999.84191,158.09027,0,0.0
19,24,99999.886184,113.815997,0,0.0
19,25,99999.886175,113.820496,0,0.0
20,26,99999.886175,113.820496,0,0.0
22,32,99999.848233,151.760661,0,0.0
26,30,99999.848233,151.766659,0,0.0
