node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.88525,114.690804,0,0.0
1,7,99999.9235,76.460536,0,0.0
1,8,99999.9235,76.460536,0,0.0
1,10,99999.88525,114.695367,0,0.0
1,12,99999.847,152.921072,0,0.0
1,15,99999.847,152.902825,0,0.0
1,18,99999.840625,159.292783,0,0.0
1,30,99999.9235,76.463578,0,0.0
2,3,99999.847158,152.841904,0,0.0
2,4,99999.923573,76.423994,0,0.0
2,5,99999.923573,76.423994,0,0.0
2,17,99999.847158,152.841904,0,0.0
2,21,99999.885369,114.631428,0,0.0
2,22,99999.885359,114.635991,0,0.0
2,28,99999.885359,114.635991,0,0.0
2,31,99999.885359,114.635991,0,0.0
3,4,99999.923573,76.423994,0,0.0
3,5,99999.923573,76.423994,0,0.0
3,6,99999.847158,152.841904,0,0.0
3,7,99999.923579,76.420952,0,0.0
3,12,99999.847146,152.847988,0,0.0
3,13,99999.847146,152.847988,0,0.0
3,15,99999.802563,197.405083,0,0.0
3,20,99999.847146,152.847988,0,0.0
3,27,99999.885369,114.631428,0,0.0
3,31,99999.885359,114.635991,0,0.0
3,32,99999.840777,159.222992,0,0.0
4,11,99999.885359,95.530753,0,0.689655
4,14,99999.840777,159.216654,0,0.0
4,16,99999.885359,114.640554,0,0.0
4,17,99999.885359,114.635991,0,0.0
5,6,99999.840777,159.216654,0,0.0
5,9,99999.923573,76.423994,0,0.0
5,10,99999.923573,76.427036,0,0.0
5,11,99999.840777,159.216654,0,0.0
5,15,99999.885359,114.622306,0,0.0
5,16,99999.840777,159.222992,0,0.0
6,8,99999.885369,114.631428,0,0.0
6,19,99999.847158,152.841904,0,0.0
6,23,99999.84079,159.210317,0,0.0
6,27,99999.885369,114.631428,0,0.0
7,9,99999.885369,114.631428,0,0.0
8,18,99999.885369,114.631428,0,0.0
10,15,99999.885359,114.622306,0,0.0
10,29,99999.923573,76.427036,0,0.0
11,13,99999.923579,76.420952,0,0.0
11,29,99999.923573,76.423994,0,0.0
13,14,99999.847146,152.847988,0,0.0
13,22,99999.885359,114.640554,0,0.0
14,20,99999.847158,152.841904,0,0.0
14,21,99999.885369,114.631428,0,0.0
14,24,99999.84079,159.210317,0,0.0
15,18,99999.84079,159.19131,0,0.0
15,19,99999.84079,159.19131,0,0.0
15,26,99999.885359,114.622306,0,0.0
15,28,99999.885359,114.622306,0,0.0
16,23,99999.885359,114.635991,0,0.0
16,25,99999.885359,114.640554,0,0.0
18,30,99999.885359,114.635991,0,0.0
19,24,99999.84079,159.210317,0,0.0
19,25,99999.885359,114.635991,0,0.0
20,26,99999.885359,114.635991,0,0.0
22,32,99999.923573,76.427036,0,0.0
26,30,99999.923573,76.427036,0,0.0
