src,dst,add_st,mul_st
1,2,2.0,1.6666666666666667
1,3,3.0,2.5
1,4,2.0,1.6666666666666667
1,5,1.0,1.3333333333333333
1,6,2.0,1.6666666666666667
1,7,4.0,3.0
1,8,1.0,1.25
1,9,2.0,1.6666666666666667
1,10,2.0,1.6666666666666667
1,11,2.0,1.6666666666666667
1,12,2.0,1.5
1,13,1.0,1.25
1,14,2.0,1.6666666666666667
1,15,1.0,1.25
1,16,3.0,2.5
1,17,2.0,1.6666666666666667
1,18,1.0,1.25
1,19,2.0,1.6666666666666667
1,20,1.0,1.25
1,21,2.0,1.6666666666666667
1,22,0.0,1.0
1,23,1.0,1.25
2,1,2.0,1.6666666666666667
2,3,0.0,1.0
2,4,2.0,2.0
2,5,0.0,1.0
2,6,2.0,1.6666666666666667
2,7,3.0,2.5
2,8,0.0,1.0
2,9,1.0,1.25
2,10,2.0,1.6666666666666667
2,11,1.0,1.25
2,12,3.0,2.5
2,13,2.0,2.0
2,14,2.0,1.6666666666666667
2,15,0.0,1.0
2,16,2.0,1.6666666666666667
2,17,2.0,1.6666666666666667
2,18,3.0,2.5
2,19,2.0,1.6666666666666667
2,20,1.0,1.25
2,21,3.0,2.0
2,22,2.0,1.6666666666666667
2,23,3.0,2.5
3,1,3.0,2.5
3,2,0.0,1.0
3,4,0.0,1.0
3,5,0.0,1.0
3,6,1.0,1.25
3,7,2.0,1.6666666666666667
3,8,0.0,1.0
3,9,1.0,1.25
3,10,3.0,2.5
3,11,3.0,2.5
3,12,3.0,2.0
3,13,2.0,1.6666666666666667
3,14,3.0,2.5
3,15,0.0,1.0
3,16,2.0,1.6666666666666667
3,17,2.0,1.6666666666666667
3,18,2.0,1.6666666666666667
3,19,1.0,1.25
3,20,1.0,1.25
3,21,3.0,2.5
3,22,1.0,1.25
3,23,1.0,1.25
4,1,2.0,1.6666666666666667
4,2,2.0,2.0
4,3,0.0,1.0
4,5,1.0,1.3333333333333333
4,6,0.0,1.0
4,7,2.0,1.6666666666666667
4,8,1.0,1.25
4,9,2.0,1.6666666666666667
4,10,2.0,1.6666666666666667
4,11,1.0,1.25
4,12,2.0,1.6666666666666667
4,13,2.0,1.6666666666666667
4,14,1.0,1.25
